DTCO,GR,HCAL,RHO
90.58975,71.57809,12.00592,2.191747
90.24612,69.23408,12.50869,2.189674
88.87163,71.5257,13.12482,2.191312
84.06089,71.70689,11.81369,2.206582
79.25015,76.48584,12.15379,2.231155
77.53204,76.68254,12.70092,2.250291
77.18841,76.73395,10.2561,2.25178
74.09579,74.38773,11.74961,2.243821
69.28506,70.54239,11.45879,2.235652
66.87968,71.05328,11.26163,2.22321
66.53606,72.97824,11.65596,2.193543
71.00317,74.94472,11.83833,2.156938
74.78304,70.653,11.90734,2.133895
79.25015,62.43283,11.29449,2.111014
80.28103,59.3,11.92705,2.058403
80.62465,63.5456,13.147,2.036343
79.59378,69.72122,11.01518,2.09767
77.53204,69.70927,11.87284,2.200446
68.25418,65.47879,11.93691,2.25668
64.47432,64.38465,11.3405,2.276299
66.19244,69.29855,12.15872,2.213223
71.46561,70.26478,13.47971,2.150797
82.92167,68.38455,13.25297,2.089835
91.277,62.31815,12.30166,2.052698
94.36961,60.7653,12.20308,2.046969
96.43136,59.89224,12.38053,2.059888
96.43136,63.18139,12.11929,2.087104
94.71324,62.45102,11.26163,2.119984
81.3119,63.95798,11.78411,2.205026
75.47029,63.67861,11.7989,2.237196
68.41452,67.2554,12.03549,2.269367
65.0635,71.59919,12.9868,2.277018
61.45405,70.64869,12.50376,2.284668
54.09052,68.54108,11.79397,2.260462
53.76721,64.05838,15.4119,2.236256
56.3696,59.52062,17.10257,2.174683
63.62735,53.65706,19.53753,2.074554
72.37767,49.34638,18.4786,1.982899
73.40855,49.28737,11.48344,1.95574
72.03405,50.29375,11.7644,2.065189
67.22331,48.34586,13.21847,2.146787
66.53606,46.1164,15.81608,2.18986
68.59781,45.17756,17.55112,2.164631
75.78301,43.63755,18.32005,2.107653
85.77901,43.43403,19.75441,2.027644
87.49713,42.83389,19.28122,1.917442
86.46626,44.65442,13.60294,1.842476
74.43941,46.02449,12.30659,1.805668
66.87968,46.56823,15.91467,1.808034
65.84882,44.56423,19.36501,1.833523
69.97231,41.90398,21.35635,1.896144
-9999,40.25367,22.74635,1.931407
-9999,39.86029,24.05871,1.943551
-9999,42.24068,24.38773,1.910676
-9999,44.7446,24.81162,1.833734
-9999,47.56073,23.98354,1.786322
-9999,48.92135,23.59415,1.741438
-9999,51.59426,19.72483,1.782371
-9999,53.2603,16.78711,1.832326
-9999,53.02348,17.08285,1.926034
-9999,51.97281,18.26583,1.988078
-9999,49.9197,18.85732,2.066146
-9999,53.36116,19.79384,2.106737
-9999,56.88,19.30586,2.135211
-9999,57.57347,13.54132,2.157277
-9999,53.65398,13.31336,2.187842
-9999,48.16671,15.06317,2.191716
-9999,47.13297,17.19129,2.181771
-9999,46.01088,14.66269,2.127767
-9999,47.43475,14.15006,2.05397
-9999,45.58613,16.18659,1.911827
-9999,43.24951,18.92632,1.807849
-9999,38.33491,21.47711,1.686754
-9999,34.38413,22.89422,1.610947
-9999,32.51947,23.535,1.508812
-9999,33.07178,24.42716,1.462387
-9999,38.00393,24.8067,1.456695
-9999,45.49452,24.78698,1.539971
-9999,52.10382,23.38097,1.669247
-9999,59.36309,14.60847,1.914942
-9999,60.06208,11.375,2.077864
-9999,59.25465,11.80876,2.232939
-9999,59.02566,13.44028,2.26876
-9999,62.14205,12.94737,2.211304
74.67242,68.82184,13.90361,2.099891
76.50116,71.36952,11.60667,1.968499
77.53204,73.5119,11.2222,1.969506
78.5629,68.89396,11.2567,2.218605
78.90653,66.05165,11.39964,2.308843
76.50116,64.1184,11.27149,2.32759
73.75217,67.07526,11.34543,2.339263
74.43941,67.82676,11.28628,2.339176
77.53204,68.74702,12.22773,2.287073
80.28103,69.16455,12.12915,2.213932
81.99915,67.7423,11.57216,2.190609
83.03002,67.30957,11.92213,2.222691
79.59378,68.05433,12.42489,2.242728
76.50116,68.16076,13.17411,2.182408
76.50116,65.65208,13.44028,2.127205
81.99915,60.93419,14.87956,2.051064
80.62465,60.69298,14.51481,2.012616
75.47029,57.78401,13.71631,2.014894
72.7213,54.96872,14.80563,2.056248
74.43941,56.45788,15.70765,2.093628
80.28103,57.56225,15.57456,2.103264
88.6964,60.2159,15.42053,2.103206
93.33875,59.66304,16.34267,2.110686
95.74411,60.67366,16.52587,2.114804
94.02599,59.47633,15.2591,2.109058
86.12263,58.42921,15.36754,2.123375
78.21928,62.47284,11.97635,2.154818
68.78603,68.24098,11.77918,2.213332
66.48586,66.81931,11.31092,2.225628
66.70949,66.92168,11.04968,2.219394
60.00743,67.73106,10.91167,2.21345
58.55737,75.86544,10.78351,2.201975
-9999,75.27105,10.07044,2.177081
-9999,70.65243,10.95603,2.144566
-9999,63.68685,12.20308,2.11292
-9999,60.59044,13.40988,2.056466
-9999,58.42044,14.62982,1.960174
-9999,56.39352,15.2246,1.893207
-9999,57.20519,15.99353,1.989935
-9999,61.85851,11.93691,2.108006
-9999,67.82691,11.11787,2.143675
-9999,67.38531,12.47418,2.159267
-9999,65.68713,14.12049,2.122072
99.65087,62.6737,15.24924,2.098035
-9999,62.13972,13.12975,2.124821
-9999,63.51245,11.21645,2.173796
-9999,65.09921,11.45879,2.181342
-9999,69.562,10.43355,2.132519
-9999,71.49582,11.60667,2.070437
-9999,71.67204,13.01145,2.037093
-9999,72.31889,11.4629,2.037307
-9999,68.99878,10.34976,2.070117
56.20271,67.68803,10.54692,2.111975
55.03885,65.31882,11.21727,2.120904
55.62078,64.21166,11.99606,2.116002
59.11236,62.54068,12.30166,2.108058
74.5579,60.79084,11.88269,2.115194
84.02687,65.04816,11.90241,2.121689
92.59404,67.74994,12.14393,2.118419
